Blue_ADC,Blue_Support,Red_ADC,Red_Support,Bot_Gold_Diff_10,matchID,Blue_Win
Jinx,Nami,Zeri,Karma,855,EUW1_6881372685,0
Lucian,Pantheon,Ashe,Nami,3018,EUW1_6881251914,1
Jinx,Janna,Twitch,Nami,-2600,EUW1_6881183366,0
Jinx,Yuumi,Ezreal,Blitzcrank,-280,EUW1_6881142909,0
Vayne,Lulu,Sivir,Janna,2538,EUW1_6881110704,1
Jinx,Hwei,Lucian,Brand,214,EUW1_6881072795,0
Twitch,Zilean,Ezreal,Nami,18,EUW1_6881027918,1
Twitch,Zyra,Yasuo,Alistar,3807,EUW1_6879366724,0
Twitch,Pyke,Ashe,Nautilus,295,EUW1_6882200739,1
Aphelios,Karma,Kaisa,Rell,857,EUW1_6881747858,1
Kaisa,Ekko,Jinx,Lulu,-505,EUW1_6879337200,1
Ezreal,Janna,Kaisa,Rakan,600,EUW1_6877060901,1
Jinx,Neeko,Swain,Rakan,2709,EUW1_6877018230,1
Aphelios,Nunu,Twitch,Janna,332,EUW1_6876971960,0
Aphelios,Braum,Caitlyn,Velkoz,-575,EUW1_6876938702,1
Yasuo,Janna,Smolder,Velkoz,1824,EUW1_6875587112,0
Varus,Lissandra,Yasuo,Maokai,1564,EUW1_6875541157,1
Lucian,Nami,Draven,Poppy,2169,EUW1_6875508171,1
Lucian,Milio,Kaisa,Braum,130,EUW1_6875002938,0
Kaisa,Rell,Samira,Pyke,-1386,EUW1_6874992720,1
Kaisa,Camille,Jinx,Pyke,1295,EUW1_6874361327,0
Zeri,Lulu,Jinx,Hwei,2937,EUW1_6874109314,1
Smolder,Thresh,Kaisa,Janna,-638,EUW1_6874072096,0
Jinx,Neeko,Twitch,Blitzcrank,2258,EUW1_6874036095,1
Twitch,Zilean,Kalista,Camille,-3840,EUW1_6874006538,0
Yasuo,Senna,Zeri,Janna,-530,EUW1_6883748453,0
Yasuo,Janna,Sivir,Yuumi,198,EUW1_6883736487,1
Yasuo,Janna,Jinx,Soraka,3242,EUW1_6882628166,1
Yasuo,Elise,Jinx,Brand,-1532,EUW1_6882564620,0
Yasuo,Janna,Twitch,Sona,1207,EUW1_6882532507,1
Zeri,Milio,Yasuo,Nautilus,-193,EUW1_6882321727,0
Yasuo,Taliyah,Yone,Rell,1843,EUW1_6882301849,1
Swain,Senna,Yasuo,Thresh,719,EUW1_6880997682,1
Draven,Maokai,Yasuo,Velkoz,1441,EUW1_6880956220,0
Lucian,Nami,Yasuo,Camille,-1141,EUW1_6880891364,0
Yasuo,Milio,Draven,Soraka,53,EUW1_6880883575,1
Yasuo,Zyra,Zeri,Pantheon,-3170,EUW1_6880860784,0
Xayah,Braum,Samira,Rell,89,EUW1_6879327200,1
Aphelios,Nautilus,Yasuo,Senna,1275,EUW1_6879293193,1
Zeri,Rell,Draven,Pantheon,-338,EUW1_6879285900,1
Xayah,Camille,Yasuo,Renata,785,EUW1_6877924362,1
Draven,Twitch,Yasuo,Yuumi,3521,EUW1_6877919936,0
Yasuo,Twitch,Zyra,Nami,2612,EUW1_6877906540,1
Twitch,Thresh,Vayne,Pyke,762,EUW1_6883753591,1
Vayne,Janna,Xayah,Taric,-2636,EUW1_6883725319,0
Draven,Milio,Ezreal,Lux,2988,EUW1_6883567739,0
Vayne,Senna,Twitch,Lulu,-360,EUW1_6883535555,0
Vayne,Lulu,Ezreal,Karma,-1535,EUW1_6883492299,1
Vayne,Lulu,Ezreal,FiddleSticks,-337,EUW1_6883455127,0
Samira,Nautilus,Vayne,Thresh,-1021,EUW1_6883407256,1
Vayne,Pyke,Zeri,Yuumi,2355,EUW1_6883360182,1
Jinx,Zilean,Twitch,Janna,519,EUW1_6882728661,1
Kaisa,Blitzcrank,Vayne,Morgana,767,EUW1_6882699792,1
Twitch,Nautilus,Jinx,Karma,786,EUW1_6882658494,1
Ashe,Taric,Jinx,Blitzcrank,-611,EUW1_6882547435,1
Ezreal,Janna,Jinx,Thresh,1939,EUW1_6882522022,1
Samira,Nautilus,Sivir,Brand,1535,EUW1_6882466953,1
Jinx,Nami,Ezreal,Thresh,660,EUW1_6882443287,0
Lucian,Seraphine,Jinx,Rell,307,EUW1_6882428746,0
Ezreal,Seraphine,Vayne,Nautilus,293,EUW1_6882408050,1
Vayne,Karma,Zed,Neeko,795,EUW1_6882391914,0
Varus,Janna,Ezreal,Bard,550,EUW1_6882369633,0
Kaisa,Seraphine,Jhin,Bard,435,EUW1_6883046460,0
Zeri,Velkoz,Samira,Nautilus,2147,EUW1_6882958022,0
Twitch,Lulu,Zeri,Velkoz,727,EUW1_6882878374,0
Ashe,Velkoz,Jhin,Janna,-732,EUW1_6882823760,1
Jinx,Velkoz,Kaisa,Senna,696,EUW1_6882784203,1
Aphelios,Thresh,Jinx,Nami,-55,EUW1_6882698849,1
Smolder,Velkoz,Nilah,Janna,419,EUW1_6882646729,0
Kaisa,Nautilus,TwistedFate,Seraphine,1149,EUW1_6882550214,1
Jinx,Janna,Varus,Velkoz,-541,EUW1_6882462267,0
Vayne,Velkoz,Lucian,Nami,-1461,EUW1_6881757671,0
Twitch,Seraphine,KogMaw,Lulu,-905,EUW1_6881683469,1
Jinx,JarvanIV,Twitch,Velkoz,-1229,EUW1_6881630482,0
Kaisa,Janna,Jhin,Seraphine,-1732,EUW1_6881579065,0
Twitch,Velkoz,Ezreal,Brand,1342,EUW1_6879467989,0
Kaisa,Nautilus,Jinx,Sona,-401,EUW1_6879441993,1
Twitch,Janna,Zeri,Nami,-673,EUW1_6879416896,0
Caitlyn,Velkoz,Aphelios,Bard,-166,EUW1_6878812536,0
Yasuo,Velkoz,Ashe,Nautilus,474,EUW1_6878745552,1
Karthus,Camille,Jinx,Braum,-323,EUW1_6883413720,0
Yasuo,Renata,Swain,Thresh,-674,EUW1_6883340427,1
Ezreal,Thresh,Draven,Camille,-853,EUW1_6883294778,0
Kaisa,Braum,Zeri,Bard,-1530,EUW1_6883232334,0
Zeri,Lulu,Kaisa,Blitzcrank,79,EUW1_6882713200,1
Varus,Senna,Sivir,Blitzcrank,-3612,EUW1_6882662351,0
Zeri,Lulu,Caitlyn,Karma,-1010,EUW1_6882588759,1
Nilah,Leona,Ashe,Janna,-972,EUW1_6882455915,1
Jinx,Seraphine,Sivir,Rakan,-790,EUW1_6882446636,0
Ezreal,Braum,Twitch,Thresh,-336,EUW1_6882410589,1
Lucian,Janna,Ezreal,Milio,-1233,EUW1_6882382135,1
Ashe,Janna,KogMaw,Karma,-1090,EUW1_6882379524,1
Sivir,Janna,Yasuo,Jax,-1534,EUW1_6882096566,1
Zeri,Nami,Vayne,Poppy,4842,EUW1_6882039335,1
Caitlyn,Janna,Jhin,Soraka,-202,EUW1_6882000768,1
Zeri,Yuumi,Vayne,Pyke,-18,EUW1_6881934670,1
Kaisa,Vex,Draven,Nautilus,-2259,EUW1_6880931895,0
Jhin,Velkoz,Vayne,Janna,645,EUW1_6880002389,1
Twitch,Lulu,Samira,Velkoz,-1899,EUW1_6879899082,0
Jhin,Senna,Vayne,Camille,587,EUW1_6879738962,0
Lucian,Velkoz,Jinx,Sona,697,EUW1_6879683276,1
Draven,Nautilus,Jinx,Velkoz,3524,EUW1_6879571892,1
Draven,Blitzcrank,Ezreal,Velkoz,-19,EUW1_6879531527,1
Jhin,Pyke,Varus,Camille,-1704,EUW1_6879484880,0
Varus,Blitzcrank,Ashe,Bard,1007,EUW1_6879440067,1
Zeri,Blitzcrank,Sivir,Zilean,-628,EUW1_6878416750,0
Twitch,Janna,Zeri,Nautilus,-580,EUW1_6878202362,1
Jinx,Thresh,Caitlyn,Pyke,415,EUW1_6878167270,1
Varus,Velkoz,Jinx,Braum,1621,EUW1_6878020349,0
Samira,Alistar,Lucian,Pyke,734,EUW1_6877606779,0
Ezreal,Karma,Jax,Senna,2693,EUW1_6877551847,1
Varus,Pantheon,Xayah,Nautilus,-747,EUW1_6877198497,0
Kaisa,Milio,Hwei,Teemo,1911,EUW1_6877146684,1
Twitch,Yuumi,Kaisa,Nautilus,-336,EUW1_6877088986,1
KogMaw,Milio,Zeri,Brand,-162,EUW1_6876917346,0
Lucian,Leona,Draven,Blitzcrank,165,EUW1_6876855323,0
Jinx,Nautilus,Vayne,Lulu,403,EUW1_6883755694,1
Ezreal,Brand,Kalista,Nautilus,903,EUW1_6883725455,1
Jinx,Thresh,Twitch,Sona,-914,EUW1_6883711227,1
Ashe,Rumble,Zeri,Lux,1655,EUW1_6883637304,0
Varus,Leona,Ezreal,Nami,252,EUW1_6883608843,0
Jinx,Milio,Ashe,Leona,-625,EUW1_6883503868,1
Jinx,Milio,Zeri,Yuumi,748,EUW1_6883255472,1
Ezreal,Zilean,Kaisa,Pyke,223,EUW1_6883164098,1
Jinx,Thresh,Zeri,Sona,-772,EUW1_6882291036,0
KogMaw,Pyke,Ashe,Zyra,978,EUW1_6882276576,0
Jinx,Braum,Kaisa,Blitzcrank,-1701,EUW1_6881877054,0
MissFortune,Yuumi,Jinx,Sona,-817,EUW1_6881565112,0
Kaisa,Taric,Jinx,Rell,14,EUW1_6881505021,1
Ashe,Lulu,Ezreal,Braum,1831,EUW1_6880469168,0
Xayah,Milio,Ashe,Thresh,-1840,EUW1_6880402597,0
Seraphine,Maokai,Jinx,Janna,-269,EUW1_6880043334,0
